slovo,emocia,vyskyty
rýchlo,1,1
rýchly,1,1
rýdzo,1,1
samostatne,1,1
samostatný,1,1
senilný,-1,1
silný,1,1
škaredý,-1,1
skeptický,-1,1
sklamaný,-1,1
škodlivý,-1,1
skromný,1,2
skutočný,1,3
skvelý,2,1
sladko,1,1
sladký,1,1
slastne,2,1
slávnostný,1,1
slávny,1,1
slepá,-1,2
slnečný,1,3
slobodne,1,1
slobodný,1,4
slušný,1,1
smrteľný,-2,1
smutný,-1,2
špeciálne,1,1
špeciálny,1,2
špinavý,-1,1
spokojný,1,3
spoločenský,1,3
správne,1,6
správny,1,4
srdnatý,1,2
stará,-1,11
starať,-1,5
starieť,-1,1
starom,-1,2
starostlivo,1,3
starostlivý,1,1
starý,-1,16
šťastný,1,4
statný,1,2
šťavnatý,1,1
štedrý,1,2
štíhla,1,1
strašne,-2,1
strelený,-1,1
strmý,-1,2
súčasný,1,4
sucho,-1,2
suchý,-1,2
svadobný,1,2
svätá,1,2
svätý,1,5
svedomitý,1,1
svetový,1,2
svorne,1,1
symbolický,1,1
talentovaný,1,1
ťažkať,-1,1
ťažko,-1,5
ťažký,-1,7
temný,-1,2
tenký,1,1
teroristický,-2,1
tesný,-1,1
tmavý,-1,2
trpezlivo,1,3
trpký,-1,1
tučný,-1,1
tupo,-1,1
tvorivý,1,2
tvrdé,-1,1
tvrdiť,-1,1
týraný,-2,1
úctivý,1,1
úlisný,-2,1
univerzálny,1,2
úplne,1,5
úplný,1,3
úprimne,1,2
úprimný,1,5
usmievavý,1,2
úspešný,1,3
uštipačný,-1,1
útulný,1,1
užasnuto,1,1
užitočný,1,3
úzkostlivý,-1,1
uznávaný,2,1
vágne,-1,1
váhavo,-1,1
varovný,-1,1
vážne,-1,3
vďačný,1,2
veľkorysý,1,1
verný,1,4
veselý,1,5
vhodný,1,1
virtuózny,1,1
vľúdny,1,1
vojnový,-1,1
vrelý,1,1
vrtošivý,-1,1
Všemohúci,1,1
všímavý,1,1
vtipný,1,1
výborná,2,1
výborný,2,1
výdatný,1,1
výhodný,1,1
výnimočne,3,1
vypočítavý,-1,1
vyspelý,1,3
výstižne,1,1
vyumelkovaný,-1,1
významný,1,1
vyzývavo,1,2
vzácne,1,1
vzácny,1,2
vzdelaný,1,1
vzdorovito,-1,1
vzdorovitý,-1,1
zábavný,1,2
zabudnutý,-1,1
záchranný,1,1
zaľúbený,1,2
zamračený,-1,1
žartovne,1,1
zaskočený,-1,1
zaujímavý,1,4
zavádzajúci,-1,1
zázračný,2,3
zbytočne,-1,2
zbytočný,-1,6
zdravo,1,1
zdravý,1,7
zdrvujúci,-2,1
zdvorilý,1,1
zhovievavý,1,1
zhovorčivý,1,2
zhrozene,-2,1
žiarivo,1,1
žiarivý,1,1
žičlivý,1,1
ziskový,1,1
živé,1,2
živiť,1,2
živo,1,1
zlato,1,1
zlatý,1,4
zle,-1,5
zlé,-1,4
zlo,-1,2
zlomený,-1,1
zlostne,-1,1
zlostný,-1,1
zlovestný,-2,1
zlý,-1,1
zmätený,-1,6
známa,1,3
známy,1,10
znať,1,4
znepokojený,-1,1
znesiteľný,1,1
zodpovedný,1,1
zrelý,1,3
zrozumiteľný,1,1
zúfalý,-1,4
zvláštne,1,5
zvláštny,1,4
