slovo;vyskyty
plynulý;5094
plytký;4434
plytvajúci;25
pobledlý;14
pobláznený;311
poburujúci;702
pochabý;1335
pochcaný;0
pochmúrny;4081
pochopený;1211
pochvalný;909
pochybný;7179
pochybovačný;444
poctený;962
poctivý;8440
podarený;1749
podchladený;444
poddajný;1055
podhodnotený;1449
podivný;4246
podivuhodný;2209
podliezavý;29
podlomený;741
podlízavý;166
podlý;2134
podmanivý;1277
podmaňujúci;261
podnapitý;1376
podnecujúci;322
podnetný;2956
podnikavý;1177
podozrievavý;1058
podozrivý;28411
podplatený;298
podplatný;18
podporovaný;8707
podporujúci;4774
podpriemerný;2234
podpálený;232
podpílený;31
podradný;1654
podráždený;2920
podvedený;1091
podvodný;2109
podvratný;550
podvrhnutý;120
podvyživený;823
poetický;6643
pohlcujúci;299
pohnojený;54
pohodlný;12751
pohodový;1360
pohostinný;1529
pohotový;3990
pohľadný;509
pohŕdajúci;105
pohŕdavý;943
pojebaný;54
pokojný;37463
pokorný;6506
pokrivený;1448
pokrkvaný;258
pokrytecký;1393
pokrútený;624
pokrčený;1366
pokutovaný;444
pokútny;619
polemický;1391
policajný;82977
polohluchý;16
polomŕtvy;657
polovičatý;478
pološialený;145
polámaný;1324
pomalý;20062
pompézny;1114
pomstichtivý;7
pomstychtivý;600
pomätený;1189
pomýlený;2027
poničený;103
ponižovaný;395
ponižujúci;2850
ponurý;1416
ponížený;2234
poondený;142
poondiaty;1104
poplachový;207
popletený;1042
popraskaný;1178
popravený;2466
popredajný;108
popredný;25184
popudlivý;229
populistický;3291
populárny;33462
popáleninový;108
porazený;7562
poriadkumilovný;297
poriadny;16048
pornografický;1651
porušený;4858
posadnutý;4344
posilnený;4587
posledný;483442
poslušný;4388
posmelený;392
posmeškársky;33
posmešný;1361
posprejovaný;32
posraný;132
posratý;490
postačujúci;1838
postihnuteľný;359
postihnutý;48789
postrelený;880
postrádateľný;24
postupový;8541
posväcujúci;625
posvätený;1697
posvätný;14458
potešený;1428
potešujúci;1753
potlčený;63
potmehúdsky;802
potrebný;176998
potulný;1199
potupený;220
poučný;3484
použiteľný;4168
povoľný;473
povrchný;4649
povzbudený;1458
povzbudivý;1850
povzbudzujúci;2979
povznesený;1244
povznášajúci;912
povýšenecký;749
povýšený;2228
pozdvihujúci;34
pozitívny;69277
poznamenaný;1989
pozorný;9535
pozoruhodný;19518
počestný;1094
počítačový;26328
počúvateľný;153
poľutovaniahodný;1768
pošahaný;29
poškodený;30153
poškodzujúci;557
poškriabaný;144
poškvrnený;619
požehnaný;5246
požívateľný;49
pracný;117
pracovitý;3803
pragmatický;4910
prahnúci;160
prajný;566
praktický;37951
pravdivý;16021
pravdomluvný;10
pravdovravný;307
prašivý;1172
prchavý;1611
prchký;868
prebehlícky;2
preberavý;6
prebytočný;3462
precitlivelý;133
precitlivený;952
precítený;594
precízny;2891
predajný;14847
predimenzovaný;640
predobrý;44
predpojatý;307
predpotopný;369
predvídateľný;1157
predvídavý;670
preferovaný;1899
preflákaný;13
prefláknutý;33
prehnaný;8602
prehnitý;770
prehriaty;815
prehľadný;4612
prekliaty;5646
prekonaný;3527
prekrásny;10335
prekrútený;355
prekvapivý;4128
prekvitajúci;529
prekypujúci;791
prekérny;88
prelietavý;497
prelomový;3623
premrhaný;424
premrštený;706
premyslený;5993
prenádherný;174
prepadnutý;1646
prepadový;377
preplnený;8297
prepracovaný;6482
preprokrastinovaný;0
prepychový;1966
prepísknutý;18
prerušený;6262
presiaknutý;1177
presladený;234
preslávený;3158
presný;60310
prestížny;26513
presvedčivý;8554
preverený;1196
preverovaný;611
prevratný;3073
prevrátený;1879
prezieravý;1281
prečisťujúci;40
prešetrovaný;72
prešibaný;951
prešpekulovaný;290
prešustrovaný;26
prešťastný;250
preťažený;2231
preťažujúci;5
prežiarený;476
priamočiary;2429
priateľský;21111
priaznivý;23153
priblblý;55
pridobrý;187
prieberčivý;497
priebojný;916
priedušný;128
priekopnícky;1596
priestranný;4159
priezračný;3113
prigniavený;26
prihlúply;193
prihlúpy;36
prijateľný;15652
primeraný;19987
primitívny;5903
prinútený;2140
pripravený;105620
prirodzený;55671
prispatý;108
prispôsobivý;1029
pritiahnutý;862
privalený;107
privilegovaný;2792
priširoký;119
priťažujúci;367
proaktívny;279
problematický;13566
problémový;9818
produktívny;11666
profesionálny;44078
profánny;664
progresívny;6942
prohibitívny;8
prokrastinovaný;0
prokrastinujúci;0
prominentný;3921
promiskuitný;256
promptný;705
propagandistický;1902
proporčný;219
prospechársky;108
prosperujúci;3098
prospešný;7321
prospievajúci;78
protialergický;73
protichodný;3866
protifašistický;2673
protikresťanský;282
protiprávny;2563
protirečivý;1842
protistresový;87
protivný;1482
protizákonný;2264
protiústavný;3187
protištátny;1310
provokatívny;1651
provokačný;561
provokujúci;974
prudký;30219
pružný;6267
prvoplánový;904
prvoradý;9987
prvotriedny;2504
prémiový;1329
príhodný;1629
príjemný;56805
príkladný;2869
prínosný;1099
prípustný;4065
prítulný;2168
prívetivý;2518
prízemný;5109
príčinlivý;199
príšerný;4294
príťažlivý;13065
príživnícky;65
pseudovedecký;110
psychedelický;352
psychosomatický;458
psychotický;257
pulzujúci;1108
puntičkársky;239
pustý;6181
pyromanský;5
pyšný;7060
páchnuci;1009
pálivý;439
pôsobivý;7065
pôvabný;5490
pôžitkársky;379
pútavý;3713
rachotiaci;125
racionálny;10888
radikálny;21482
radostný;13515
rafinovaný;3568
rajský;2383
rakovinový;1266
ranený;6495
rasistický;3544
rastúci;26585
realistický;7957
realizovateľný;1174
rebelantský;304
rebelský;162
recidivujúci;98
redundantný;173
regeneračný;1295
regenerujúci;38
regresívny;284
regulovateľný;177
regulárny;2365
reklamovaný;248
rekordný;22652
relatívny;8272
relaxačný;3150
relaxovaný;33
relevantný;9319
renomovaný;9835
represívny;2071
reprezentatívny;6198
retardovaný;778
revitalizujúci;15
revizionistický;334
revolučný;16094
rezervovaný;2698
rezolútny;375
reálny;68626
rešpektovaný;2905
rešpektujúci;634
riskantný;5565
rituálny;2453
rizikový;18123
robustný;3251
romantický;17778
rovnomerný;2757
rozbitý;7583
rozcítený;177
rozderavený;8
rozdrobený;985
rozgniavený;30
rozhajdákaný;4
rozhnevaný;1799
rozhodnutý;16066
rozhodný;5135
rozhorčený;3011
rozháraný;925
rozjarený;760
rozjasnený;118
rozjebaný;3
rozkošný;2366
rozkrádačský;18
rozlietaný;302
rozmanitý;9609
rozmarný;1105
rozmazaný;1325
rozmaznaný;1425
rozmaznávajúci;19
rozmaznávaný;151
rozmetaný;206
rozmoknutý;85
rozobratý;428
rozochvený;1506
rozpadnutý;894
rozpadávajúci;801
rozpačitý;3175
rozpitvaný;38
rozpoltený;746
rozporný;1348
rozporuplný;2293
rozpoznateľný;520
rozprávkový;11865
rozptyľujúci;98
rozrušený;2957
roztodivný;11
roztomilý;1016
roztopašný;633
roztrieštený;1050
roztržitý;1110
rozumný;18714
rozvratnícky;36
rozvratný;161
rozvážny;2341
rozvíjajúci;7706
rozzúrený;2244
rozčarovaný;1752
rozčuľujúci;125
rozčúlený;1813
rozšafný;507
rozžiarený;1466
rušivý;2547
rušný;6548
rytiersky;2643
rázovitý;1100
rúhačský;85
rúči;346
rýchly;102534
rýdzi;1549
sadistický;709
samodeštruktívny;10
samostatný;59012
samovražedný;5824
samozvaný;1471
samoúčelný;1492
samoľúby;1064
sankcionovaný;578
sankčný;1580
sardonický;48
sarkastický;1077
savý;64
scestný;1146
schizofrenický;536
schizoidný;70
schopný;95912
schátralý;269
schátraný;1163
sebadeštruktívny;70
sebaistý;1086
sebastredný;56
sebavedomý;5484
sebazničujúci;350
sebaľútostivý;26
sebecký;2793
sebestačný;1543
sebevražedný;32
senilný;423
senzačný;3289
septický;180
seriózny;10907
sexi;2152
sexistický;317
sexy;1389
sfetovaný;192
silný;192190
skazený;2181
skeptický;4420
skladný;231
sklamaný;18486
skleslý;420
skomolený;362
skonfiškovaný;502
skormútený;401
skorumpovaný;2084
skorumpovateľný;13
skostnatelý;75
skostnatený;636
skreslený;2655
skresľujúci;519
skrivodlivý;81
skromný;17306
skrvavený;704
skrútený;1259
skrúšený;416
skurvený;259
skutočný;87196
skvelý;58299
skvostný;1787
skántrený;6
skúpy;2087
skúsený;45053
skľučujúci;914
skľúčený;1086
slabnúci;1179
slaboduchý;197
slabomyseľný;465
slabý;85434
sladký;21175
slastný;1106
slepý;16339
slizký;959
slnečný;35569
slobodný;54132
slušivý;293
slušný;27824
slzavý;378
slzopudný;2
slávnostný;46622
slávny;50904
smelý;6036
smradľavý;1674
smrdiaci;90
smrdutý;19
smrteľný;13229
smrtiaci;3304
smutný;39251
smädný;3430
smútiaci;1594
smútočný;4156
snaživý;1613
snivý;335
snobský;612
snový;1609
sofistikovaný;2127
solidárny;2225
solídny;9381
sopľavý;186
sošný;92
spanilý;1449
spavý;143
spektakulárny;222
spestrený;469
spevácky;13971
spletitý;1077
splnený;9892
sploštený;579
spochybniteľný;309
spokojný;76026
spoločenský;99564
spomalený;1639
spontánny;7281
sporadický;1493
sporiadaný;165
sporivý;590
sporný;14938
spoľahlivý;15058
spracovateľný;119
spratný;29
spratý;20
spravodlivý;24300
spriaznený;2867
sprostý;3545
správny;118424
spupný;486
spurný;708
spustnutý;983
spásny;605
spôsobilý;2423
spútaný;1584
srandovný;273
srdcervúci;782
srdečný;5215
srdnatý;140
stabilizačný;3149
stabilizovaný;5032
stabilný;23653
stagnujúci;1078
starostlivý;4649
starý;460967
statný;2412
statočný;6995
stereotypný;1399
stiesnený;1684
stiesňujúci;309
stimulačný;2040
stimulujúci;637
stmelený;240
strapatý;1953
stratový;5257
strašidelný;3355
strašlivý;365
strašný;25764
strelený;3438
stresujúci;872
strhaný;778
strhujúci;2927
striedmy;1081
strmý;8510
strnulý;1008
strojený;483
stroskotaný;483
strápnený;8
strápňujúci;3
stupídny;704
submisívny;185
subtílny;1096
suchopárny;359
suchý;33887
suicidálny;83
superný;5
surový;12045
suverénny;7686
sužovaný;1249
svadobný;10649
svalnatý;2040
svedomitý;1710
svetový;262037
svetoznámy;8285
sviatostný;1644
sviatočný;7486
svieži;7255
sviniarsky;7
svinský;632
svižný;2161
svobodný;153
svojhlavý;276
svojrázny;4980
svojvoľný;1737
svorný;245
svrbiaci;138
svätý;179992
symbolický;17433
symetrický;1296
sympatický;13657
synergický;1094
systematický;7770
súci;2912
súcitiaci;49
súcitný;1203
súdržný;1014
súhlasiaci;71
súhlasný;1941
súmerný;590
súperivý;23
sústrastný;425
súčasný;205691
súťaživý;454
sýty;3012
sľubný;8170
sťatý;327
tabuizovaný;918
taktný;583
talentovaný;14836
teatrálny;844
temný;14556
temperamentný;2297
tendenčný;1014
tenký;16902
tenzný;43
terapeutický;3110
teroristický;20267
tesný;19963
tichovravný;0
tmavý;31274
tmeliaci;31
tmársky;78
tolerantný;3736
totalitný;7543
totálny;8112
toxický;3877
tradičný;70306
trafený;542
tragický;20298
transparentný;6466
trasúci;1276
trasľavý;886
traumatický;1082
traumatizovaný;434
traumatizujúci;595
trblietavý;1309
trefný;974
trendový;941
trendy;8703
trestajúci;473
trestaný;4005
trestuhodný;704
treťotriedny;402
trhaný;432
trhavý;266
triezvy;4804
tristný;481
triumfálny;1518
triviálny;1499
trombotický;14
trosečnícky;0
troskotajúci;1
trpený;322
trpezlivý;6754
trpiaci;6633
trpký;7426
trvanlivý;1404
trvácny;818
trápený;181
trápiaci;566
trápny;5875
trénovaný;833
trúchlivý;441
trúfalý;709
trýznivý;610
tuctový;880
tupý;5045
turbulentný;821
tučný;10396
tvorivý;31183
tvrdohlavý;3022
tvrdý;73780
tvárny;863
tyranský;501
túlavý;2366
týraný;3524
tŕnistý;1039
ubitý;578
ubolený;1416
ubrblaný;1
ubíjajúci;490
ubúdajúci;409
ucelený;6119
uchvacujúci;208
uchvátený;794
uctievaný;1165
udatný;1444
udivujúci;520
udriemaný;6
udržateľný;7839
udržiavaný;2617
udržovaný;249
uhrovitý;74
ukvapený;3
ukľudňujúci;75
ultramoderný;224
ulízaný;257
umierajúci;3322
umiernený;4089
umný;1160
umrnčaný;31
unavený;18887
unikátny;12193
univerzálny;14555
unáhlený;1900
upadajúci;907
upadaný;0
upatlaný;4
upchatý;737
upevnený;1682
upišťaný;20
uplakaný;1081
uplatený;9
upokojený;223
upokojujúci;2394
uponáhľaný;1444
upracovaný;266
uprataný;750
upršaný;777
upálený;391
upätý;445
urastený;2772
urazený;3189
urgentný;1620
urodzený;2071
urážajúci;459
urážlivý;2093
usilovný;3846
uskutočniteľný;693
usmiaty;3081
usmievavý;2287
usmoklený;94
uspokojený;1507
uspokojivý;3711
uspokojujúci;886
usporiadaný;8162
uspávajúci;133
ustaraný;210
ustarostený;1829
ustrašený;461
ustráchaný;1378
utajený;6455
utajovaný;3789
utešený;2129
utiahnutý;1070
utlačený;296
utlmený;548
utopický;1172
utrmácaný;157
utrápený;1843
utvrdený;95
uveriteľný;583
uvoľniteľný;4
uvážlivý;693
uväznený;5326
uzatvorený;11795
uzavretý;28364
uzimený;757
uznaniahodný;10
uznaný;5354
uznávaný;13115
učenlivý;705
uškrtený;52
uštipačný;869
ušľachtilý;6353
užasnutý;937
užitočný;22730
vadný;190
validný;62
variabilný;4404
varovný;4567
verný;28475
veselý;26577
vetchý;724
veľavážený;417
veľkodušný;1289
veľkohubý;311
veľkolepý;11517
veľkomyseľný;81
veľkorysý;4180
vhodný;102150
viacúčelový;2003
vierohodný;1531
vierolomný;250
vinný;10124
virtuózny;617
virulentný;72
vitalizujúci;15
vizonársky;0
vkusný;1511
vlečúci;801
vlhký;11259
vláčny;485
vnímavý;3806
vodnatý;639
vojnový;28288
volatilný;754
voľnomyšlienkársky;102
voňajúci;1240
vplyvný;10279
vražedný;4178
vrcholový;7900
vrelý;1482
vrtký;868
vrtošivý;588
vrávoravý;0
vrúcny;3676
vtieravý;490
vtipný;10353
vulgarizujúci;13
vulgárny;4174
vyargumentovaný;102
vyberaný;3130
vyberavý;148
vybitý;716
vyblednutý;1498
vyblokovaný;40
vychudnutý;1936
vychytaný;200
vycibrený;793
vydarený;14363
vydesený;1697
vydýchaný;209
vyfabulovaný;42
vyfetovaný;4
vyfláknutý;0
vyhladnutý;384
vyhladovaný;980
vyhostený;662
vyhovujúci;3544
vyhrabaný;136
vyhýbajúci;108
vyhýbavý;513
vyjebaný;27
vykonštruovaný;1960
vykorisťovateľský;227
vykoľajený;553
vykurovaný;1404
vylepšený;1396
vyliečený;952
vylučovaný;332
vylákaný;49
vymetený;189
vymodlený;95
vymyslený;6058
vynachádzavý;438
vynaliezavý;770
vynikajúci;44824
vypatlaný;18
vypitvaný;152
vyplašený;1188
vyplytvaný;32
vypočítavý;783
vypracovaný;10065
vyprahnutý;1053
vyprovokovaný;383
vypätý;1720
vyrabovaný;268
vyradený;4186
vyriešený;6142
vyrovnaný;38104
vysilený;1032
vysilujúci;58
vysmiaty;828
vysnívaný;3303
vysokoakostný;31
vysokoefektívny;32
vysokohodnotný;119
vysokokonkurenčný;14
vysokokvalifikovaný;837
vysokokvalitný;722
vyspelý;24517
vysraný;2
vysratý;4
vystrašený;4419
vystresovaný;664
vystískaný;3
vysídlený;322
vytesnený;206
vytešený;87
vytknutý;193
vytrhnutý;2032
vytrvalý;5430
vytúžený;6496
vyumelkovaný;321
vyučený;1670
využiteľný;2179
využívaný;7353
vyvolený;9604
vyvádzajúci;38
vyvážený;7969
vyzdobený;3248
vyziabnutý;593
vyzývavý;1098
vyčerpaný;8346
vyčerpávajúci;3527
vyčítavý;555
vyľudnený;729
vyštudovaný;1499
vzdelaný;12451
vzdorný;166
vzdorovitý;719
vzhľadný;185
vzkriesený;3046
vzlykajúci;135
vznetlivý;146
vznešený;10669
vzorový;2253
vzpurný;61
vzrušený;3813
vzrušiteľný;2
vzrušivý;74
vzrušujúci;7542
vzácny;35410
vzťahovačný;104
vábivý;673
vágny;1031
váhavý;1113
vášnivý;7887
vážny;87229
väznený;2632
vítaný;7467
víťazný;47745
výberový;21723
výborný;66173
výbušný;3572
výdatný;5362
výhodný;39207
výkonný;41819
výnimočný;32317
výnosný;2773
výpomocný;245
výrazný;90023
výrečný;2314
výsmešný;642
výstavný;12437
výstižný;4554
výstražný;3437
výstredný;1643
vývojaschopný;190
významný;143081
výživný;2891
vďačný;15182
vľúdny;1783
všemocný;2262
všemohúci;3786
všeobsiahly;93
všestranný;5744
všetečný;458
vševediaci;437
všivavý;455
všímavý;364
vžitý;1254
xenofóbny;631
zabehnutý;1535
zabezpečený;18094
zabitý;6502
zablatený;1248
zablokovaný;2449
zabrzdený;203
zabudnutý;8674
zabíjaný;221
zachovalý;2188
zachrípnutý;850
zadržaný;8449
zadubený;301
zadýchaný;251
zadĺžený;652
zadľžený;1
zafajčený;303
zahanbený;1227
zahanbujúci;1298
zahlienený;53
zahnaný;352
zaháľajúci;44
zajatý;2263
zakalený;592
zakomplexovaný;563
zakrpatený;553
zakrslý;16
zakrvavený;1864
zakríknutý;726
zamatový;3059
zamietavý;915
zamilovaný;4808
zamindrákovaný;44
zamlčaný;426
zamorený;1037
zamotaný;1527
zamračený;3570
zamínovaný;230
zanedbaný;3789
zanedbateľný;5697
zanietený;2232
zaniknutý;1310
zaostalý;3443
zapamätateľný;489
zaplavený;3939
zaplesnený;5
zapletený;3157
zaplnený;4265
zapomínaný;1
zaprataný;838
zaprášený;2610
zapáchajúci;1063
zapálený;3918
zarastený;3184
zarmucujúci;84
zarmútený;1478
zarážajúci;3713
zaskočený;3788
zaslepený;1105
zaslúžený;9971
zaslúžilý;2183
zasmušilý;37
zasnený;769
zastaralý;1191
zastaraný;4480
zastrašujúci;222
zastretý;1456
zatemnený;537
zatracovaný;464
zatrpknutý;1088
zatúlaný;958
zaujatý;3427
zaujímavý;139489
zautomatizovaný;188
zauzlený;243
zavadzajúci;50
zavraždený;6800
zavrhnutý;547
zavrhovaný;77
zavádzajúci;3757
zavírený;57
zaznávaný;606
začarovaný;2323
začervený;3
zaľúbený;5014
zašlý;1356
zaťatý;2533
zaťažujúci;586
zbabelý;1910
zbabraný;1248
zbehlý;528
zbesilý;211
zbitý;1088
zblblý;1
zblbnutý;41
zblednutý;112
zblokovaný;360
zbožňujúci;142
zbrklý;79
zbytočný;36233
zdarný;729
zdatný;5292
zdecimovaný;921
zdeformovaný;1057
zdegenerovaný;187
zdemolovaný;795
zdemoralizovaný;38
zdeptaný;241
zdesený;1705
zdevastovaný;2208
zdobný;17
zdokonaľovací;96
zdravý;59474
zdrvený;883
zdrvujúci;2410
zdržanlivý;3156
zdurený;212
zdvorilostný;1095
zdvorilý;2872
zdémonizovaný;5
zdĺhavý;5189
zharmonizovaný;48
zhnitý;1081
zhnusený;420
zhoršujúci;2220
zhovievavý;2224
zhovorčivý;1758
zhrdzavený;760
zhrozený;2226
zhubný;3617
zhulený;63
zháčený;4
zhýralý;287
zhýčkaný;131
zimomravý;130
ziskový;5448
ziskuchtivý;265
zjazvený;618
zjašený;67
zkrachovaný;1
zladený;1060
zlatý;106346
zlepšený;3454
zlodejský;637
zlomený;9393
zlomyseľný;2705
zlostný;2781
zlovestný;2369
zlovoľný;178
zločinecký;3657
zločinný;1313
zložitý;41874
zlátaný;43
zlý;203059
zmagorený;63
zmanipulovaný;1705
zmastený;1
zmeravený;600
zmierlivý;1191
zmiernený;311
zmietaný;1616
zmodernizovaný;658
zmrzačený;877
zmrznutý;1115
zmutovaný;305
zmyselný;1644
zmysluplný;5768
zmätený;6623
zmätočný;684
zmýlený;37
znalý;607
znamenitý;2587
značkový;4481
znechucujúci;65
znechutený;3211
znehodnotený;797
znepokojený;4431
znepokojivý;812
znepokojujúci;3447
znepriatelený;2094
znervózňujúci;80
znesiteľný;1485
znetvorený;1275
zneuctený;272
zneucťujúci;28
zneurotizovaný;10
zneužiteľný;277
zneužitý;1767
zneužívajúci;220
zneužívaný;1767
znevažujúci;407
znevýhodnený;4273
znečistený;2803
zneškodnený;373
znivočený;112
zničený;15236
zničujúci;1676
znudený;691
známy;250419
znášanlivý;206
zodpovedajúci;10137
zodpovedný;45928
zodratý;908
zohavený;425
zohratý;1122
zohyzdený;123
zomierajúci;1470
zomrelý;1329
zomretý;838
zosnulý;12875
zostarnutý;494
zostručnený;56
zostupný;610
zotročený;390
zoxidovaný;75
zoštíhľujúci;68
zošúverený;350
zradený;543
zradný;2663
zranený;41881
zraniteľný;5190
zredukovaný;1032
zrejmý;21854
zrekonštruovaný;5178
zrekreovaný;8
zrelý;10256
zrnitý;631
zrozumiteľný;6320
zručný;2440
zrútený;966
zurvalecký;3
zvládnuteľný;887
zvláštny;58603
zvodný;1675
zvrhlý;943
zvrátený;2542
zvulgarizovaný;49
zábavný;24891
zábudlivý;375
záchranný;30812
zádrapčivý;185
zádumčivý;556
záhaľčivý;285
zákerný;4966
zákonchrániaci;0
záludný;233
zámožný;2529
zápalový;1537
zásadový;904
záslužný;1788
závadný;382
závadový;51
závažný;31096
závideniahodný;821
závislý;25397
závistivý;6
závistlivý;754
závratný;3035
zázračný;12395
zážitkový;1281
zúbožený;886
zúfalý;11581
zúrivý;4166
zžitý;164
úbohý;11211
úchvatný;2476
úctivý;1743
úctyhodný;4839
úderný;1571
údesný;167
úhlavný;1382
úhľadný;1452
úkladný;665
úlisný;354
úmerný;161
úmorný;1457
únavný;1879
únosný;1944
úpadkový;402
úplatný;233
úplný;48600
úporný;1447
úprimný;20008
úrodný;4673
úsečný;471
úskočný;289
úslužný;521
úsmevný;2381
úspešný;135119
úsporný;13013
ústretový;4537
ústupčivý;199
útočný;15124
útulný;3115
úvahový;231
úzkoprsý;527
úzkostlivý;1511
úzkostný;842
účelný;2918
účinný;31555
úžasný;27889
úžernícky;203
úžerácky;0
čarokrásny;712
čarovný;9334
čačaný;37
čerstvý;34344
čestný;27777
čiernohumorný;44
činorodý;1314
čiperný;660
čistokrvný;1717
čistotný;631
čistý;88009
čitateľný;3329
čudný;23001
čudácky;666
čulý;3019
ďalekozraký;95
ľahkomyseľný;897
ľahkoverný;189
ľahkovážny;839
ľahký;71149
ľahostajný;9188
ľstivý;784
ľubozvučný;414
ľudomilný;125
ľúbezný;867
ľúbivý;430
šalejúci;59
šantiaci;213
šantivý;219
šarmantný;2372
šedý;3583
šeredný;69
šetriaci;624
šetrný;1943
šialený;9055
šibnutý;723
šikanovaný;395
šikovný;17234
šišatý;90
škandalózny;2444
škandálny;546
škaredý;7235
šklbavý;28
škodlivý;11194
škodoradostný;696
škriepivý;6
škrobený;255
škrtiaci;197
šmykľavý;1094
šokovaný;4534
šokujúci;6131
šovinistický;494
špecializovaný;16602
špecifický;30550
špeciálny;77792
špekulatívny;3940
špicový;41
špinavý;16472
špičkový;22263
štedrý;12153
štíhly;9112
štípajúci;57
štítivý;31
štýlový;4457
švihnutý;107
švindliarsky;1
šľachetný;3073
šťastný;72431
šťavnatý;2522
ťarbavý;866
ťažiaci;295
ťaživý;2043
ťažkopádny;1770
ťažký;181206
žalostný;3255
žartovný;1185
žebrácky;18
želaný;2460
žhavý;83
žiadaný;6805
žiadny;36381
žiaduci;3526
žiariaci;1872
žiarivý;6096
žiarlivý;1712
živelný;4282
životaschopný;2405
životodarný;1507
životohrozujúci;6
živý;78815
žičlivý;1225
žobrajúci;282
žobravý;354
žobrácky;763
žobrúci;1
žoviálny;570
žravý;164
